cluster_key,language,this_report_claude,chatgpt_v2,chatgpt_v3,google,grok,consensus_class,verification_burden,action,xl_ref,notes
python+pickle+deserialization,python,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-001,
python+yaml+deserialization,python,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
python+subprocess+shell-injection,python,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-003,
python+django+debug-true,python,YES,YES,YES,?,?,majority,low,ship_P0,,
python+django+hardcoded-secret-key,python,YES,YES,YES,?,?,majority,low,ship_P0,XL-006,
python+django+allowed-hosts-wildcard,python,YES,?,?,?,?,outlier,medium,P1,,
python+flask+debug-mode,python,YES,YES,YES,?,?,majority,low,ship_P0,,
python+fastapi+wildcard-cors-credentials,python,YES,YES,YES,?,?,majority,low,ship_P0,,
python+requests+no-timeout,python,YES,YES,YES,?,?,majority,low,ship_P0,XL-005,
python+raw-sql-interpolation,python,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-002,
python+mcp+system-prompt-leak,python,added_via_google,?,?,YES,?,majority,medium,ship_P0,XL-012,added from Google comparison run
python+llm+output-to-sink,python,YES,YES,YES,?,?,majority,medium,ship_P0,XL-011,
python+llm+trust-remote-code,python,YES,?,YES,?,?,majority,medium,P1,XL-001,
python+hardcoded-provider-key,python,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-006,
python+jwt+algorithm-none,python,YES,?,?,?,?,outlier,medium,P1,,
python+jinja2+autoescape-off,python,YES,?,?,?,?,outlier,low,P1,,
python+sqlalchemy+text-with-interpolation,python,YES,?,?,?,?,outlier,low,P1,XL-002,
python+pyyaml+default-loader,python,YES,?,?,?,?,outlier,low,P1,XL-001,
python+langchain+agent-tool-shell-access,python,YES,?,?,?,?,outlier,high,P2,XL-010,
python+os-listdir+symlink-traversal,python,YES,?,?,?,?,outlier,medium,P1,,
rust+unsafe-block+no-safety-comment,rust,YES,YES,YES,?,?,majority,low,ship_P0,,
rust+mem-transmute+untrusted-len,rust,YES,?,YES,?,?,majority,medium,ship_after_fixture,,
rust+sqlx+format-interpolation,rust,YES,YES,YES,?,?,majority,low,ship_P0,XL-002,
rust+danger-accept-invalid-certs,rust,YES,YES,YES,?,?,majority,low,ship_P0,XL-004,
rust+cargo+git-dep-no-rev,rust,YES,YES,YES,?,?,majority,low,ship_P0,XL-007,
rust+build-rs+shell-or-network,rust,YES,YES,?,?,?,majority,medium,P1,XL-008,
rust+tokio+blocking-in-async,rust,YES,?,YES,?,?,majority,medium,P1,,
rust+actix+unwrap-in-handler,rust,YES,?,?,?,?,outlier,medium,P1,,
rust+tauri+broad-fs-scope,rust,YES,?,?,?,?,outlier,medium,P1,XL-010,
rust+reqwest+no-timeout,rust,YES,?,?,?,?,outlier,low,ship_P0,XL-005,
go+database-sql+sprintf-query,go,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-002,
go+math-rand+token-generation,go,YES,YES,YES,?,?,majority,low,ship_P0,,
go+http-client+no-timeout,go,YES,YES,YES,YES,YES,consensus,low,ship_P0,XL-005,
go+exec-command+sh-c-tainted,go,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
go+goroutine+no-cancellation,go,YES,YES,YES,?,?,majority,medium,P1,,
go+go-mod+replace-remote,go,YES,YES,YES,?,?,majority,medium,P1,XL-007,
go+tls-insecure-skip-verify,go,YES,YES,YES,?,?,majority,low,ship_P0,XL-004,
go+gin+permissive-cors,go,YES,?,?,?,?,outlier,low,P1,,
go+filepath+path-traversal-no-clean,go,YES,?,?,?,?,outlier,medium,P1,,
go+xml-decoder+external-entity,go,YES,?,?,?,?,outlier,medium,P1,,
java+objectinputstream+no-filter,java,YES,YES,YES,?,?,majority,low,ship_P0,XL-001,
java+spring+mass-assignment,java,added_via_google,?,YES,YES,?,majority,medium,ship_P0,XL-009,added from Google comparison run
java+createquery+concat-jpql,java,YES,YES,YES,?,?,majority,medium,ship_P0,XL-002,
java+runtime-exec+tainted-string,java,YES,YES,YES,?,?,majority,low,ship_P0,XL-003,
java+md5+password-hashing,java,YES,YES,YES,?,?,majority,low,ship_P0,,
java+maven+latest-or-release-version,java,YES,YES,YES,?,?,majority,low,ship_P0,XL-007,
java+log4j+vulnerable-range,java,YES,YES,YES,?,?,majority,low,ship_P0,,
java+spring-actuator+exposed-in-prod,java,YES,?,?,?,?,outlier,low,P1,XL-010,
java+xmldecoder+untrusted,java,YES,?,?,?,?,outlier,medium,P1,XL-001,
java+httpclient+no-timeout,java,YES,?,?,?,?,outlier,low,P1,XL-005,
kotlin+exported-component+no-permission,kotlin,YES,YES,YES,?,?,majority,low,ship_P0,XL-010,
kotlin+webview+javascript-bridge,kotlin,YES,YES,YES,?,?,majority,medium,P1,,
kotlin+room+raw-query-interpolation,kotlin,YES,?,YES,?,?,majority,medium,P1,XL-002,
